[Person #0, Arrival Time: 45.49511662684628, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 46.87689906020887, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 47.569933605902925, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #113, Arrival Time: 41.28874093742628, Departure Time: 47.83078849490619, Wait Time: 6.542047557479904, Time Boarded Lift: 44.33078849490619, Walker: False]
[Person #114, Arrival Time: 44.57288164632969, Departure Time: 47.83078849490619, Wait Time: 3.2579068485764964, Time Boarded Lift: 47.83078849490619, Walker: False]
[Person #115, Arrival Time: 44.82387346086599, Departure Time: 47.83078849490619, Wait Time: 3.0069150340401976, Time Boarded Lift: 47.83078849490619, Walker: False]
[Person #116, Arrival Time: 37.898438416522374, Departure Time: 49.33078849490619, Wait Time: 11.432350078383813, Time Boarded Lift: 40.83078849490619, Walker: False]
[Person #117, Arrival Time: 44.33823216725435, Departure Time: 49.33078849490619, Wait Time: 4.99255632765184, Time Boarded Lift: 47.83078849490619, Walker: False]
[Person #118, Arrival Time: 44.8343415725462, Departure Time: 49.33078849490619, Wait Time: 4.496446922359986, Time Boarded Lift: 47.83078849490619, Walker: False]
[Person #119, Arrival Time: 41.51955272742146, Departure Time: 50.33078849490619, Wait Time: 8.811235767484725, Time Boarded Lift: 44.33078849490619, Walker: False]
[Person #120, Arrival Time: 44.485409498889695, Departure Time: 50.33078849490619, Wait Time: 5.845378996016493, Time Boarded Lift: 47.83078849490619, Walker: False]
[Person #121, Arrival Time: 45.17166563298346, Departure Time: 50.33078849490619, Wait Time: 5.159122861922725, Time Boarded Lift: 47.83078849490619, Walker: False]
[Person #0, Arrival Time: 49.86959265918742, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 50.18297278422737, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 50.301288399732044, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 50.450136552792074, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 51.29396302902926, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #122, Arrival Time: 44.61768785746587, Departure Time: 51.33078849490619, Wait Time: 6.71310063744032, Time Boarded Lift: 47.83078849490619, Walker: False]
[Person #123, Arrival Time: 48.27031476982115, Departure Time: 51.33078849490619, Wait Time: 3.060473725085039, Time Boarded Lift: 51.33078849490619, Walker: False]
[Person #124, Arrival Time: 44.44893742925529, Departure Time: 52.83078849490619, Wait Time: 8.381851065650899, Time Boarded Lift: 47.83078849490619, Walker: False]
[Person #125, Arrival Time: 48.02403883670922, Departure Time: 52.83078849490619, Wait Time: 4.806749658196971, Time Boarded Lift: 51.33078849490619, Walker: False]
[Person #126, Arrival Time: 48.31178773423083, Departure Time: 52.83078849490619, Wait Time: 4.519000760675354, Time Boarded Lift: 51.33078849490619, Walker: False]
[Person #127, Arrival Time: 44.493288590859606, Departure Time: 53.83078849490619, Wait Time: 9.337499904046581, Time Boarded Lift: 47.83078849490619, Walker: False]
[Person #128, Arrival Time: 48.028036307111094, Departure Time: 53.83078849490619, Wait Time: 5.802752187795093, Time Boarded Lift: 51.33078849490619, Walker: False]
[Person #129, Arrival Time: 48.13973120020183, Departure Time: 53.83078849490619, Wait Time: 5.691057294704358, Time Boarded Lift: 51.33078849490619, Walker: False]
[Person #130, Arrival Time: 48.29775476710913, Departure Time: 53.83078849490619, Wait Time: 5.533033727797054, Time Boarded Lift: 51.33078849490619, Walker: False]
[Person #0, Arrival Time: 50.048995366295856, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 53.64788580588742, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
